England : wales 0.6,scotland 0.5,english_people 0.49,cardiff 0.48,english_midlands 0.48,welsh_language 0.47,mandarin 0.46,gaelic_scots 0.46,yorkshire 0.45,mandarin_dialects 0.45,welsh_english 0.44,southern_england 0.44,british_english 0.44,netherlands_national_football_team 0.44,great_britain 0.43,west_country 0.43,manchester_united_kingdom 0.43,standard_cantonese 0.42,english 0.42,american_english 0.42
Sri_Lanka_Matha : ananda_samarakone 0.51,sinhalese_people 0.45,jana_gana_mana 0.43,tamil_language 0.41,boze_pravde 0.4,sinhala 0.4,sunil_santha 0.4,soulbury_commission 0.39,pandith_amaradeva 0.38,sri_lanka_tamils 0.38,flag_of_sri_lanka 0.38,sinhala_only_act 0.38,indonesia_raya 0.38,jaffna_tamils 0.37,tamil_eelam 0.37,national_language 0.37,amar_shonar_bangla 0.37,nanda_malini 0.37,eda_rae 0.36,ponnambalam 0.36
Washington_Dulles_International_Airport : ronald_reagan_washington_national_airport 0.73,john_f_kennedy_airport 0.68,baltimore-washington_international_thurgood_marshall_airport 0.67,newark_liberty_international_airport 0.66,los_angeles_international_airport 0.64,ohare_international_airport 0.63,bwi_rail_station 0.61,george_bush_intercontinental_airport 0.6,laguardia_airport 0.6,san_francisco_international_airport 0.59,logan_international_airport 0.59,fiorello_h_laguardia 0.59,philadelphia_international_airport 0.58,hartsfield-jackson_atlanta_international_airport 0.58,norfolk_international_airport 0.57,washington_international_school 0.57,metropolitan_washington_airports_authority 0.57,miami_international_airport 0.57,denver_international_airport 0.53,seattle-tacoma_international_airport 0.53
Broadway_Video : snl_films 0.65,marci_klein 0.64,universal_television 0.56,lorne_michaels 0.53,ken_aymong 0.53,2778qt 0.52,emily_spivey 0.52,john_riggi 0.5,wolf_films 0.49,little_stranger_inc 0.49,abc_studios 0.48,deedle_dee_productions 0.48,jon_pollack 0.47,cbs_productions 0.46,jmvk6v 0.46,20th_century_fox_television 0.46,joann_alfano 0.45,paul_simms 0.45,charlie_grandy 0.45,jerry_kupfer 0.45
Computer-generated_imagery : cg_artwork 0.78,computer_graphics 0.76,computer_animation 0.59,cg_programming_language 0.58,traditional_animation 0.58,weta_digital 0.58,ray_harryhausen 0.57,motion_capture 0.56,industrial_light_and_magic 0.55,3-d_film 0.55,rob_bottin 0.55,the_matrix 0.54,phil_tippett 0.53,robert_zemeckis 0.53,michael_bay 0.52,vfx 0.52,tron 0.52,sky_captain_and_the_world_of_tomorrow 0.51,beowulf_2007 0.51,jamie_beard 0.51
Xavier_University : university_of_dayton 0.69,miami_university 0.64,ohio_university 0.63,wittenberg_university 0.6,university_of_akron 0.57,college_of_mount_st_joseph 0.57,university_of_toledo 0.56,university_of_cincinnati 0.55,wright_state_university 0.54,northern_kentucky_university 0.54,villanova_university 0.53,butler_university 0.53,wilmington_college 0.53,john_carroll_university 0.53,baldwin-wallace_college 0.53,capital_university 0.53,saint_josephs_university 0.52,marquette_university 0.52,cleveland_state_university 0.52,indiana_wesleyan_university 0.52
World_Party : karl_wallinger 0.72,private_revolution 0.44,goodbye_jumbo 0.43,the_waterboys 0.43,jeannie_c_riley 0.39,toadies 0.39,love_and_rockets_swing_edition 0.39,todd_rundgren 0.39,los_lobos 0.39,third_eye_blind 0.39,patrick_simmons 0.39,sugarcult 0.39,lloyd_cole 0.39,steve_forbert 0.38,steely_dan 0.38,matthews_southern_comfort 0.38,the_pogues 0.38,robbie_dupree 0.38,cracker 0.38,dramarama 0.38
Bison : grizzly_bear 0.5,lynx 0.49,cross_movement_records 0.47,eagle 0.46,letran_knights 0.46,loyola_sacred_heart_high_school 0.46,swedish_national_australian_rules_football_team 0.45,lancer 0.45,redskins 0.45,berwick_area_senior_high_school 0.45,marauders 0.45,red_devil 0.45,tanager 0.45,bridger 0.45,yellowjackets 0.45,mustang 0.45,whippet 0.44,american_bison 0.44,blue_devils_drum_and_bugle_corps 0.44,charlo_montana 0.44
Lorne_Michaels : saturday_night_live 0.71,tina_fey 0.69,weekend_update 0.61,marci_klein 0.61,amy_poehler 0.61,seth_meyers 0.6,30_rock 0.57,emily_spivey 0.56,fred_armisen 0.56,jimmy_fallon 0.55,robert_carlock 0.54,andy_samberg 0.54,will_forte 0.54,broadway_video 0.53,darrell_hammond 0.53,alec_baldwin 0.53,saturday_night_live_cast 0.52,rachel_dratch 0.51,jason_sudeikis 0.51,liz_lemon 0.51
California : southern_california 0.71,sacramento 0.68,san_jose 0.64,san_diego 0.63,northern_california 0.62,newport_beach 0.61,orange_county 0.6,santa_barbara 0.59,fresno_california 0.59,pleasanton 0.59,santa_monica_california 0.59,circa 0.58,huntington_beach 0.58,palo_alto 0.58,torrance 0.58,sf_bay_area 0.58,bakersfield 0.58,irvine 0.57,santa_ana 0.57,costa_mesa 0.57
Ubisoft : namco_bandai_games 0.79,sega 0.77,ubisoft_montreal_studios 0.76,capcom 0.75,assassins_creed_2 0.75,splinter_cell 0.73,ghost_recon 0.73,eurogamer 0.72,square_enix 0.72,eidos_interactive 0.71,activision 0.71,codemasters 0.71,namco 0.71,electronic_arts 0.71,konami 0.71,ubisoft_paris 0.7,tom_clancys_ghost_recon_advanced_warfighter 0.69,tom_clancys_splinter_cell_conviction 0.69,assassins_creed_iii 0.69,lucasarts 0.69
Patrick_Leahy : united_states_senate_committee_on_the_judiciary 0.83,jeff_sessions 0.66,arlen_specter 0.61,sheldon_whitehouse 0.61,michael_b_mukasey 0.61,john_cornyn 0.6,dianne_feinstein 0.6,charles_schumer 0.59,bernie_sanders 0.59,alberto_gonzales 0.58,orrin_hatch 0.57,john_conyers 0.57,united_states_house_committee_on_the_judiciary 0.57,chuck_grassley 0.56,state_secrets_protection_act 0.56,habeas_corpus_restoration_act_of_2007 0.55,united_states_senate_select_committee_on_intelligence 0.55,jay_rockefeller 0.54,lindsey_graham 0.54,tom_harkin 0.54
Oligarchy : plutocracy 0.61,corporatocracy 0.55,ruling_class 0.54,statism 0.54,totalitarianism 0.53,corporatism 0.52,kleptocracy 0.51,democratic_socialism 0.51,american_empire 0.51,neoliberalism 0.49,state_capitalism 0.48,military-industrial_complex 0.48,imperialism 0.48,collectivism 0.48,big_business 0.47,preamble_to_the_united_states_constitution 0.47,police_state 0.47,bonapartist 0.46,marxian_economics 0.45,big_government 0.44
Alan_Rusbridger : paul_dacre 0.61,3grlnc 0.6,the_guardian 0.58,lionel_barber 0.57,25_mrg 0.55,dan_sabbagh 0.55,news_international 0.55,kelvin_mackenzie 0.55,peter_preston 0.55,h1hrst 0.55,roger_alton 0.54,simon_kelner 0.54,roy_greenslade 0.54,andrew_neil 0.53,c_p_scott 0.53,hugh_cudlipp 0.52,the_independent 0.52,news_of_the_world 0.52,4w9bd 0.52,press_gazette 0.52
Rhode_Island : providence 0.77,cranston 0.69,warwick_rhode_island 0.68,wpri-tv 0.66,east_providence 0.66,pawtucket 0.66,providence_county 0.64,north_kingstown 0.64,vermont 0.63,woonsocket 0.63,connecticut 0.62,smithfield_rhode_island 0.62,massachusetts 0.61,south_kingstown 0.61,newport_rhode_island 0.61,westerly 0.6,east_greenwich 0.6,maine 0.59,20vjd9 0.59,20vk6r 0.59
South_Korea : seoul 0.83,korea 0.79,north_korea 0.73,yonhap 0.72,lee_myung-bak 0.69,korean_language 0.65,pyongyang 0.65,korean_people 0.64,busan 0.62,h1f_b0 0.61,incheon 0.61,south_korean_ministry_of_national_defence 0.6,ministry_of_foreign_affairs_and_trade 0.6,ministry_of_unification 0.6,korea_herald 0.59,korean_peninsula 0.59,cheong_wa_dae 0.59,jeju-do 0.58,the_chosun_ilbo 0.58,republic_of_korea_navy 0.57
Aussie : kiwi 0.42,new_zealand_dollar 0.39,australian_dollar 0.38,2jvpv 0.36,united_states_greenback_party 0.36,antipodeans_group 0.34,loonie 0.33,sydney 0.32,bondi_beach_new_south_wales 0.31,austraila 0.31,antipodes 0.31,greater_swiss_mountain_dog 0.31,kiwi_fm 0.3,tasman_bay 0.3,japanese_yen 0.3,uk 0.3,us 0.3,dollar 0.29,swiss_franc 0.29,canadian_dollar 0.28
Taft_Broadcasting : jacor 0.34,carl_lindner_jr 0.32,susquehanna_radio_corporation 0.3,wlw 0.3,al_schottelkotte 0.27,wpfb 0.27,kxyz 0.27,ruth_lyons_tv_personality 0.27,metromedia 0.27,capital_cities_communications 0.27,wkrc 0.27,randy_michaels 0.27,woac 0.27,roberts_broadcasting 0.26,kmny 0.26,wklu 0.26,wvpx 0.26,new_vision_television 0.26,sfx_entertainment 0.26,51ybbv 0.26
Colonie_Central_High_School : shaker_high_school 0.48,saratoga_springs_high_school 0.48,guilderland_high_school 0.47,4grgq3 0.46,watervliet_high_school 0.46,albany_high_school_albany_new_york 0.45,bethlehem_central_high_school 0.43,3d29tn 0.43,colonie 0.43,by1s5t 0.42,niskayuna_high_school 0.42,brighton_high_school 0.42,9gb0d8 0.41,saranac_lake_high_school 0.41,north_rockland_high_school 0.41,hastings_high_school 0.41,ballston_spa_high_school 0.41,horseheads_high_school 0.4,webster_schroeder_high_school 0.4,penfield_high_school 0.4
Mumbai : south_mumbai 0.74,new_delhi 0.73,pune 0.72,ahmedabad 0.71,calcutta 0.67,chennai 0.67,jaipur 0.67,delhi 0.67,bangalore 0.65,hyderabad 0.65,press_trust_of_india 0.63,navi_mumbai 0.62,mumbai_police 0.61,kochi 0.61,india 0.6,indore 0.6,nagpur 0.58,indo_asian_news_service 0.58,gurgaon 0.57,nashik 0.57
Roman_currency : galae 0.35,romano-british 0.34,bronze_age 0.34,iron_age 0.33,vairocana 0.33,1st_century_bc 0.32,boy_with_thorn 0.32,apollo_sauroctonos 0.32,qianyang_county_shaanxi 0.32,llyn_cerrig_bach 0.31,tumbaga 0.31,perseus_with_the_head_of_medusa 0.31,netsuke 0.31,giovanni_francesco_susini 0.31,etruscan_mythology 0.3,roman_britain 0.3,5th_century_bc 0.3,apollo_belvedere 0.3,sutton_hoo 0.3,argand_lamp 0.3
American_English : british_english 0.66,standard_english 0.56,english_english 0.54,english 0.5,mandarin_dialects 0.5,mandarin 0.5,south_african_english 0.5,australian_english 0.49,modern_english 0.49,indian_english 0.49,basic_english 0.49,manglish 0.48,literary_arabic 0.47,philippine_english 0.47,tagalog 0.47,jamaican_creole 0.47,standard_cantonese 0.47,mexican_spanish 0.47,castilian_spanish 0.47,spanish 0.45
Andy_Ackerman : marc_buckland 0.47,curb_your_enthusiasm 0.44,jon_pollack 0.44,david_semel 0.42,bryan_gordon 0.42,james_burrows 0.42,john_riggi 0.41,christopher_misiano 0.41,gail_mancuso 0.41,kari_lizer 0.41,craig_zisk 0.41,pamela_fryman 0.41,seinfeld 0.4,gmcp0v 0.4,alex_graves 0.4,daniel_sackheim 0.4,michael_fresco 0.4,n28_cd 0.39,todd_holland 0.39,jackie_marcus 0.39
Television : emmy_award 0.58,desperate_housewives 0.58,everybody_loves_raymond 0.55,will_grace 0.54,30_rock 0.54,ugly_betty 0.54,the_sopranos 0.54,seinfeld 0.53,how_i_met_your_mother 0.53,tv_guide 0.53,lost 0.52,arrested_development 0.52,my_name_is_earl 0.52,greys_anatomy 0.52,law_order 0.52,frasier 0.51,malcolm_in_the_middle 0.51,the_king_of_queens 0.51,gilmore_girls 0.51,six_feet_under 0.51
Church_of_England : anglicanism 0.81,archbishop_of_canterbury 0.78,rowan_williams 0.77,anglican_communion 0.76,anglo-catholicism 0.74,general_synod 0.72,general_synod_of_the_church_of_england 0.71,church_in_wales 0.7,american_episcopal_church 0.7,province_of_canterbury 0.7,archbishop 0.68,lambeth_palace 0.67,scottish_episcopal_church 0.66,church_of_england_newspaper 0.66,roman_catholic_church 0.66,episcopal_church_in_the_united_states_of_america 0.65,anglican_church_of_canada 0.65,lambeth_conferences 0.64,church_scotland 0.64,john_sentamu 0.64
BAFTA_Award_for_Best_Film : academy_award_for_best_foreign_language_film 0.66,academy_award_for_best_director 0.66,academy_award_for_best_picture 0.65,academy_award_for_writing_original_screenplay 0.64,golden_globe_award_for_best_foreign_language_film 0.64,cannes_film_festival_for_best_screenplay 0.63,goya_award_for_best_director 0.62,academy_award_for_writing_adapted_screenplay 0.62,independent_spirit_award_for_best_first_screenplay 0.61,academy_award_for_live_action_short_film 0.61,independent_spirit_award_for_best_director 0.61,golden_globe_award_for_best_screenplay 0.6,academy_award_for_film_editing 0.6,best_director_award 0.6,chlotrudis_award_for_best_actress 0.6,british_academy_of_film_and_television_arts 0.59,bafta_award_for_best_sound 0.59,israeli_film_academy 0.59,golden_globe_award_for_best_director_-_motion_picture 0.59,british_independent_film_awards 0.59
Erran_Baron_Cohen : west_kazakhstan_philharmonic_orchestra 0.51,marat_bisengaliev 0.4,joby_talbot 0.38,nitin_sawhney 0.38,christopher_austin 0.37,fq0rs9 0.37,sacha_baron_cohen 0.37,borat 0.36,mychael_danna 0.36,gtxzkx 0.36,chaya_czernowin 0.36,9v6kx4 0.36,orlando_gough 0.36,ivan_karabyts 0.36,daniel_pemberton 0.36,ali_g_indahouse 0.36,srul_irving_glick 0.35,sharon_farber 0.35,cnxgd0 0.35,ali_g 0.35
Shirley_Walker : jerry_goldsmith 0.47,christopher_young 0.45,danny_elfman 0.44,michael_kamen 0.44,john_ottman 0.44,john_debney 0.43,michael_mccuistion 0.43,elmer_bernstein 0.43,harry_gregson-williams 0.43,joel_goldsmith 0.42,basil_poledouris 0.42,mark_isham 0.41,laurence_rosenthal 0.41,ramin_djawadi 0.41,tyler_bates 0.4,gm6stv 0.4,rolfe_kent 0.4,mark_snow 0.4,joel_mcneely 0.4,edward_shearmur 0.4
Thomism : aristotelianism 0.69,etienne_gilson 0.64,platonism 0.63,jacques_maritain 0.63,neoplatonism 0.62,richard_rorty 0.62,alasdair_macintyre 0.6,kantianism 0.6,immanuel_kant 0.6,age_of_enlightenment 0.6,summa_theologiae 0.59,karl_rahner 0.59,duns_scotus 0.59,hans_urs_von_balthasar 0.59,church_fathers 0.58,john_milbank 0.58,plotinus 0.58,alvin_plantinga 0.58,edmund_husserl 0.57,friedrich_daniel_ernst_schleiermacher 0.57
Seamus_McGarvey : janusz_kaminski 0.55,roger_deakins 0.54,sarah_greenwood 0.53,john_mathieson_1958 0.52,barry_ackroyd 0.52,philippe_rousselot 0.51,robert_elswit 0.51,emmanuel_lubezki 0.51,freddie_young 0.51,joe_wright 0.51,john_toll 0.51,wally_pfister 0.51,dante_spinotti 0.51,mandy_walker 0.51,pawel_edelman 0.51,stephen_goldblatt 0.5,bruno_delbonnel 0.5,28b72x 0.5,robert_richardson 0.49,chris_menges 0.49
Voice_over_IP : ipbx 0.78,public_switched_telephone_network 0.77,session_initiation_protocol 0.75,key_telephone_system 0.75,virtual_pbx 0.71,sip_trunking 0.71,internet_protocol 0.7,unified_communications 0.7,mobile_voip 0.69,centrex 0.68,internet_telephony_service_provider 0.67,enterprise_fmc 0.66,telecommunication_de_mozambique 0.65,time-division_multiplexing 0.65,sip_trunk 0.64,ip_phone 0.64,private_branch_exchange 0.63,ip_multimedia_subsystem 0.63,next_generation_networking 0.63,virtual_private_network 0.61
University_of_Sydney : university_of_melbourne 0.8,university_of_new_south_wales 0.8,monash_university 0.79,university_of_queensland 0.77,university_of_adelaide 0.77,griffith_university 0.75,university_of_newcastle_australia 0.73,la_trobe_university 0.73,australian_national_university 0.72,macquarie_university 0.71,flinders_university 0.71,deakin_university 0.7,university_of_western_sydney 0.66,university_of_wollongong 0.64,university_of_auckland 0.64,curtin_university_of_technology 0.64,university_of_south_australia 0.63,murdoch_university 0.63,swinburne_university_of_technology 0.63,charles_sturt_university 0.62
Hamburger : taco_salad 0.63,sloppy_joe 0.61,macaroni 0.6,salisbury_steak 0.59,teddy_grahams 0.58,fiestada 0.58,american_chop_suey 0.58,rotini 0.56,kaiser_roll 0.56,johnny_marzetti 0.56,domesticated_turkey 0.56,chicken_sandwich 0.55,ham 0.55,ham_and_cheese_sandwich 0.55,chicken_patty 0.54,texas_toast 0.54,patty_melt 0.54,french_fries 0.54,cheese_sandwich 0.53,taco 0.53
Retail : call_processing 0.27,voice_over_ip 0.27,unified_communications 0.26,small_business 0.25,call_centre 0.25,hotspot_gateway 0.25,virtual_pbx 0.25,point_of_sale 0.25,multiservice_business_gateway 0.25,northern_safety_company 0.25,law_of_costs 0.25,small_and_medium_enterprise 0.24,call_termination 0.24,transaction_processing 0.24,session_initiation_protocol 0.24,paetec_communications_inc 0.24,vofr 0.23,presence_networks 0.23,prophetline 0.23,3h9cqz 0.23
Rome : milan_italy 0.68,italy 0.65,florence 0.64,ansa_mediterranean 0.58,venice 0.58,sicily 0.58,bologna 0.57,aki_province 0.56,genoa 0.56,vatican_city 0.56,pisa 0.55,verona 0.54,turin 0.54,padua 0.53,trieste 0.52,gianni_alemanno 0.52,silvio_berlusconi 0.52,corriere_della_sera 0.51,la_repubblica 0.51,madrid 0.51
Differential_analyser : eniac 0.47,john_mauchly 0.44,jean_bartik 0.43,univac 0.41,univac_i 0.41,edvac 0.4,stan_frankel 0.4,ken_knowlton 0.39,atanasoff-berry_computer 0.39,kathleen_antonelli 0.39,ferranti_mark_i 0.38,eckert-mauchly_computer_corporation 0.38,church_turing_thesis 0.38,tom_kilburn 0.38,claude_elwood_shannon 0.37,elliott_803 0.37,macsyma 0.37,binac 0.37,clifford_berry 0.37,system_360 0.37
George_Shapiro : howard_west 0.54,jerry_seinfeld 0.4,curb_your_enthusiasm 0.36,larry_david 0.34,the_rerun_show 0.34,ben_morrison 0.34,wendy_liebman 0.34,lorne_michaels 0.33,carl_reiner 0.33,louis_ck 0.33,george_lopez 0.32,eddie_gorodetsky 0.32,americas_funniest_people 0.32,marci_klein 0.32,30_rock 0.32,dom_irrera 0.32,carolines 0.32,j_b_smoove 0.32,wilshire_theater 0.32,seinfeld 0.32
Chicken_sandwich : pulled_pork 0.68,chicken_salad 0.63,buffalo_wings 0.61,chicken_fried_steak 0.61,chicken_fingers 0.61,onion_rings 0.61,texas_toast 0.61,veggie_burger 0.6,cheese_sandwich 0.6,teriyaki 0.6,chicken_patty 0.59,potato_salad 0.59,blue_cheese 0.58,mozzarella_sticks 0.58,parmigiana 0.58,tuna_fish_sandwich 0.58,taco_salad 0.58,fajita 0.57,ham_and_cheese_sandwich 0.57,tuna_salad 0.57
Berkshire : oxfordshire 0.62,buckinghamshire 0.62,hampshire 0.6,newbury 0.58,slough 0.57,gloucestershire 0.57,sussex 0.57,maidenhead 0.56,surrey 0.56,wiltshire 0.56,hertfordshire 0.55,cambridgeshire 0.54,kent 0.54,cheshire 0.53,thames_valley 0.53,essex 0.52,west_sussex 0.52,bedfordshire 0.52,bracknell 0.52,dorset 0.52
Shulamith_Firestone : betty_friedan 0.41,the_female_eunuch 0.4,the_second_sex 0.38,redstockings 0.37,andrea_dworkin 0.37,sexual_politics 0.36,the_feminine_mystique 0.36,susan_sontag 0.34,susan_brownmiller 0.34,barbara_seaman 0.34,simone_de_beauvoir 0.33,paula_hyman 0.33,hazel_rowley 0.33,feminism 0.33,barbara_deming 0.33,gloria_steinem 0.33,katie_roiphe 0.33,jennifer_baumgardner 0.32,second-wave_feminism 0.32,spare_rib 0.32
Austrians : lower_austria 0.55,austria 0.52,amstetten_austria 0.48,fritzl_case 0.46,upper_austria 0.45,elisabeth 0.45,klaus_kroll 0.44,didier_cuche 0.43,stephan_eberharter 0.42,michael_walchhofer 0.42,georg_ritter_von_trapp 0.41,hermann_maier 0.41,sankt_polten 0.41,kitzbuhel 0.41,wengen 0.4,alpine_skiing_world_cup 0.4,super_giant_slalom_skiing 0.4,rosemarie_fritzl 0.4,kvitfjell 0.4,tyrol_austria 0.4
Ferrari_California : ferrari_599_gtb_fiorano 0.8,ferrari_458_italia 0.8,maserati_granturismo 0.73,lamborghini_gallardo 0.73,ferrari_612_scaglietti 0.72,ferrari_f430 0.71,audi_r8_road_car 0.71,porsche_911 0.71,maserati_quattroporte 0.69,maserati_coupe 0.69,mclaren_mp4_12c 0.67,bentley_continental_gt 0.67,nissan_gt_r 0.67,mercedes_benz_sls_amg 0.67,alfa_romeo_8c_competizione 0.66,aston_martin_db9 0.66,lotus_evora 0.66,bmw_m3 0.66,lamborghini_murcielago 0.65,lamborghini_gallardo_lp560_4 0.65
Roman_consul : doncaster_handicap 0.46,challenge_stakes 0.44,golden_rose 0.44,craven_plate 0.44,emancipation_stakes 0.44,george_ryder_stakes 0.44,randwick_racecourse 0.44,ajc_derby 0.44,stradbroke_handicap 0.44,warwick_farm_new_south_wales 0.44,epsom_handicap 0.44,all_aged_stakes 0.44,rosehill_guineas 0.44,group_one 0.43,sandown_guineas 0.43,australian_guineas 0.43,canterbury_guineas 0.43,rosehill_gardens_racecourse 0.43,randwick_guineas 0.43,hill_stakes 0.43
Telepresence : cisco_telepresence 0.7,polycom 0.59,videoconferencing 0.57,webex 0.56,lifesize 0.56,tandberg 0.55,uranium_carbide 0.55,vidyo 0.5,h_320 0.49,codian 0.49,unified_communications 0.49,lifesize_communications 0.49,voice_over_ip 0.49,microsoft_office_communicator_2005 0.47,cisco_systems 0.46,avaya 0.46,videocall 0.46,iocom 0.45,gl008b 0.45,radvision_ltd 0.45
Battle_of_Actium : actium 0.66,augustus 0.58,mark_antony 0.57,battle_of_philippi 0.54,cleopatra_vii_of_egypt 0.54,marcus_aemilius_lepidus 0.54,second_triumvirate 0.52,julius_caesar 0.5,plutarch 0.5,gaius_octavius 0.47,marcus_vipsanius_agrippa 0.47,marcus_antonius_orator 0.47,ancient_rome 0.46,roman_empire 0.46,julius_caesar_2002 0.46,ptolemaic_dynasty 0.46,ptolemy_philadelphus 0.45,caesarion 0.45,germanicus 0.45,valentinian_iii 0.44
Punk_rock : grunge_music 0.63,indie_rock 0.62,post-punk 0.59,heavy_metal 0.58,new_wave 0.58,pop_punk 0.58,psychobilly 0.57,sex_pistols 0.56,dead_kennedys 0.55,new_york_dolls 0.55,clash 0.55,metalcore 0.55,black_flag 0.54,the_damned 0.54,bad_brains 0.54,reagan_youth 0.54,buzzcocks 0.54,britpop 0.54,horror_punk 0.53,the_exploited 0.53
Acuvue : toric_lens 0.53,bifocals 0.49,o2_optix 0.48,astigmatism 0.46,ciba_vision 0.45,presbyopia 0.44,contact_lens 0.43,orthokeratology 0.37,bausch_lomb 0.36,rigid_gas_permeable 0.36,clean_clear 0.35,synergeyes 0.35,2h7cq_ 0.34,eye_care_professional 0.34,daysoft 0.34,168nq 0.34,ethicon_endo-surgery 0.33,listerine 0.32,progressive_lenses 0.32,paragon_vision_sciences 0.31
Jeroen_van_der_Veer : peter_voser 0.76,malcolm_brinded 0.57,linda_cook 0.55,helge_lund 0.53,paolo_scaroni 0.5,royal_dutch_shell 0.5,rob_routs 0.5,rex_tillerson 0.49,7k465v 0.49,james_mulva 0.49,philip_watts 0.49,sergey_bogdanchikov 0.47,sakhalin-ii 0.46,david_j_oreilly 0.46,sam_laidlaw 0.45,alexei_miller 0.45,maria_van_der_hoeven 0.45,eivind_reiten 0.44,clive_mather 0.43,total_sa 0.43
Illinois_Center : 3cxzm5 0.35,king_drive 0.35,chicago_loop 0.34,ogilvie_transportation_center 0.34,near_west_side_chicago 0.34,3qjyc_ 0.34,streeterville 0.33,navy_pier 0.33,one_financial_place 0.33,ubs_tower 0.33,merchandise_mart 0.33,michigan_plaza 0.32,ibm_plaza 0.32,77_west_wacker_drive 0.32,randolph_street 0.32,historic_third_ward 0.32,chicagoland 0.32,108_north_state_street 0.32,university_village_chicago 0.31,cermak 0.31
BA_CityFlyer : vlm_airlines 0.53,cityflyer_express 0.52,flybe 0.52,embraer_e-jets 0.52,flybaboo 0.5,klm_cityhopper 0.5,thomas_cook_airlines 0.5,thomsonfly 0.49,london_city_airport 0.49,ba_connect 0.47,scotairways 0.47,air_nostrum 0.47,sky_work_airlines 0.47,egyptair_express 0.46,paul_allen_simmons 0.46,bmi_regional 0.45,monarch_airlines 0.45,corsairfly 0.45,titan_airways 0.45,gb_airways 0.45
Kerr_Smith : shiri_appleby 0.63,cate 0.58,kristoffer_polaha 0.58,cate_cassidy 0.53,brittany_robertson 0.51,axel_palmer 0.48,life_unexpected 0.48,80bdt2 0.47,jensen_ackles 0.45,jean_louisa_kelly 0.45,jared_padalecki 0.44,nathaniel_bazile 0.43,brendan_fehr 0.43,one_tree_hill 0.43,scott_foley 0.42,b6f013 0.42,everwood 0.41,amanda_righetti 0.41,eric_balfour 0.41,lindsey_mckeon 0.41
Maurice_Merleau-Ponty : edmund_husserl 0.71,emmanuel_levinas 0.68,martin_heidegger 0.66,jacques_derrida 0.62,hans-georg_gadamer 0.62,jacques_lacan 0.61,phenomenology_of_perception 0.61,paul_ricoeur 0.6,gilles_deleuze 0.6,louis_althusser 0.6,michel_foucault 0.6,richard_rorty 0.6,walter_benjamin 0.58,jean_lyotard 0.58,ludwig_wittgenstein 0.57,roland_barthes 0.57,hans_blumenberg 0.57,julia_kristeva 0.57,phenomenology 0.56,immanuel_kant 0.56
Urban_park : city_park_denver 0.58,memorial_park_houston_texas 0.54,community_park 0.53,recreation 0.51,park 0.49,gj8nb1 0.49,johannesburg_city_parks 0.48,columbia_cosmopolitan_recreation_area 0.47,splash_pad 0.47,heritage_park_historical_village 0.47,new_york_city_department_of_parks_and_recreation 0.47,park_district 0.47,los_angeles_county_department_of_public_works 0.45,4zypy3 0.45,public_works 0.45,linear_park 0.45,county_park 0.45,centennial_park_thunder_bay 0.44,dog_park 0.44,westside_park 0.44
Italy : sicily 0.66,rome 0.65,spain 0.65,mezzogiorno 0.64,milan_italy 0.6,florence 0.59,turin 0.57,france 0.57,ansa_mediterranean 0.57,portugal 0.57,sardinia 0.57,bologna 0.56,milanese 0.56,bergamo 0.55,silvio_berlusconi 0.55,naples 0.54,belgium 0.54,corriere_della_sera 0.53,germany 0.53,lombardy 0.53
Fossanova_Abbey : citeaux_abbey 0.47,territorial_abbey_of_monte_oliveto_maggiore 0.45,abbey_of_farfa 0.44,cistercians 0.44,clairvaux_abbey 0.43,27m23s 0.43,la_trappe_abbey 0.43,chrast 0.42,saint_sabas 0.42,saint-michel-de-cuxa 0.42,corbie 0.41,benedictine 0.41,fontfroide_abbey 0.41,stephen_harding 0.41,certosa_di_pavia 0.41,carthusian 0.41,caelian_hill 0.41,mount_st_bernard_abbey 0.41,tyniec 0.41,santa_chiara 0.4
Penn_Quakers : princeton_tigers 0.86,columbia_lions 0.84,cornell_big_red 0.81,brown_bears 0.8,ivy 0.69,yale_bulldogs 0.67,jadwin_gymnasium 0.67,ivy_league 0.66,palestra 0.66,saint_josephs_hawks 0.65,j9m___ 0.65,bucknell_university 0.65,colgate_university 0.65,bucknell_bison 0.64,temple_owls 0.64,religious_society_of_friends 0.64,elis 0.64,lavietes_pavilion 0.63,navy_midshipmen 0.63,lasalle 0.62
Physical_cosmology : cosmology 0.48,jim_peebles 0.45,cosmogony 0.44,neil_turok 0.43,eric_chaisson 0.43,f_close 0.43,nima_arkani-hamed 0.42,astrophysics 0.42,universe 0.42,lee_smolin 0.42,quantum_mechanics 0.42,space_physics 0.42,leonard_susskind 0.41,abiogenesis 0.41,drz2xb 0.41,christopher_isham 0.41,metric_expansion_of_space 0.41,theoretical_physics 0.41,perimeter_institute_for_theoretical_physics 0.41,james_hartle 0.41
Mathematics : social_studies 0.73,physics 0.7,language_arts 0.68,6mq7 0.67,business_studies 0.65,mathematics_education 0.64,geographical 0.64,physical_science 0.62,computer_science 0.59,further_mathematics 0.59,applied_mathematics 0.59,1lj9 0.58,math 0.58,pure_mathematics 0.58,1540 0.58,english_literature 0.58,home_economics 0.56,modern_language 0.56,linguistics 0.55,algebra 0.54
